country,religion,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Ethiopia,Christianity,,,0.0075553076830546,0.0,0.0075553076830546,-0.0075553076830546,0.0075553076830546,-1.0,0.0037776538415273
South Africa,Christianity,8.0,0.013333333333333334,0.0059037757802651,0.013333333333333334,0.0059037757802651,0.007429557553068234,0.007429557553068234,1.2584416870815887,0.003714778776534117
Italy,I do not identify with any religious group or faith,5.0,0.008333333333333333,0.0010889600662265,0.008333333333333333,0.0010889600662265,0.007244373267106833,0.007244373267106833,6.652560999973372,0.0036221866335534167
Russian Federation,I do not identify with any religious group or faith,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Japan,Buddhism,,,0.0066437383733077,0.0,0.0066437383733077,-0.0066437383733077,0.0066437383733077,-1.0,0.00332186918665385
Slovakia,I do not identify with any religious group or faith,4.0,0.006666666666666667,0.0001132412882592,0.006666666666666667,0.0001132412882592,0.006553425378407467,0.006553425378407467,57.87134250369189,0.0032767126892037333
Brazil,Christianity,19.0,0.03166666666666667,0.0251362867272783,0.03166666666666667,0.0251362867272783,0.0065303799393883685,0.0065303799393883685,0.25979891183774156,0.0032651899696941843
Kenya,I do not identify with any religious group or faith,4.0,0.006666666666666667,0.0001468853130005,0.006666666666666667,0.0001468853130005,0.006519781353666167,0.006519781353666167,44.38688402865693,0.0032598906768330836
United States,Islam,4.0,0.006666666666666667,0.0004051467499798,0.006666666666666667,0.0004051467499798,0.006261519916686867,0.006261519916686867,15.454942973130247,0.0031307599583434336
Colombia,Christianity,,,0.0062101921040599,0.0,0.0062101921040599,-0.0062101921040599,0.0062101921040599,-1.0,0.00310509605202995
Kenya,Islam,4.0,0.006666666666666667,0.0005699150144422,0.006666666666666667,0.0005699150144422,0.006096751652224467,0.006096751652224467,10.697650522844388,0.0030483758261122336
Kazakhstan,Christianity,4.0,0.006666666666666667,0.0005765823240829,0.006666666666666667,0.0005765823240829,0.006090084342583767,0.006090084342583767,10.562384742318505,0.0030450421712918834
Vietnam,Other religious group,,,0.0058228296809921,0.0,0.0058228296809921,-0.0058228296809921,0.0058228296809921,-1.0,0.00291141484049605
France,Christianity,,,0.0057372946394299,0.0,0.0057372946394299,-0.0057372946394299,0.0057372946394299,-1.0,0.00286864731971495
Burma (Myanmar),Buddhism,,,0.0055717011195432,0.0,0.0055717011195432,-0.0055717011195432,0.0055717011195432,-1.0,0.0027858505597716
India,Christianity,6.0,0.01,0.0044403165429185,0.01,0.0044403165429185,0.0055596834570815,0.0055596834570815,1.2520916928654982,0.00277984172854075
Ukraine,Christianity,,,0.0055240045468122,0.0,0.0055240045468122,-0.0055240045468122,0.0055240045468122,-1.0,0.0027620022734061
Spain,I do not identify with any religious group or faith,4.0,0.006666666666666667,0.0012698200862824,0.006666666666666667,0.0012698200862824,0.005396846580384267,0.005396846580384267,4.250087582237255,0.0026984232901921335
Argentina,Christianity,,,0.0049934943911101,0.0,0.0049934943911101,-0.0049934943911101,0.0049934943911101,-1.0,0.00249674719555505
Israel,I do not identify with any religious group or faith,3.0,0.005,3.3361204341043104e-05,0.005,3.3361204341043104e-05,0.004966638795658957,0.004966638795658957,148.8746852447613,0.0024833193978294785
Poland,I do not identify with any religious group or faith,3.0,0.005,0.0003109109926171,0.005,0.0003109109926171,0.0046890890073829,0.0046890890073829,15.08177297918093,0.00234454450369145
Iraq,Islam,,,0.0045473604385098,0.0,0.0045473604385098,-0.0045473604385098,0.0045473604385098,-1.0,0.0022736802192549
Afghanistan,Islam,,,0.0045419172335758,0.0,0.0045419172335758,-0.0045419172335758,0.0045419172335758,-1.0,0.0022709586167879
Sudan,Islam,,,0.0044200042367366,0.0,0.0044200042367366,-0.0044200042367366,0.0044200042367366,-1.0,0.0022100021183683
Australia,I do not identify with any religious group or faith,3.0,0.005,0.0007816488696781,0.005,0.0007816488696781,0.0042183511303219,0.0042183511303219,5.396734126998878,0.00210917556516095
Uganda,Christianity,,,0.0042024413805335,0.0,0.0042024413805335,-0.0042024413805335,0.0042024413805335,-1.0,0.00210122069026675
Ethiopia,Islam,,,0.0041626376725109,0.0,0.0041626376725109,-0.0041626376725109,0.0041626376725109,-1.0,0.00208131883625545
Peru,Christianity,,,0.0040278556222799,0.0,0.0040278556222799,-0.0040278556222799,0.0040278556222799,-1.0,0.00201392781113995
Tanzania,Christianity,,,0.003993099170631,0.0,0.003993099170631,-0.003993099170631,0.003993099170631,-1.0,0.0019965495853155
India,Islam,13.0,0.021666666666666667,0.0255762232872107,0.021666666666666667,0.0255762232872107,-0.003909556620544031,0.003909556620544031,-0.1528590275679596,0.0019547783102720154
Uzbekistan,Islam,,,0.0038484575661391,0.0,0.0038484575661391,-0.0038484575661391,0.0038484575661391,-1.0,0.00192422878306955
Japan,I do not identify with any religious group or faith,4.0,0.006666666666666667,0.0104611350076945,0.006666666666666667,0.0104611350076945,-0.0037944683410278323,0.0037944683410278323,-0.36272052107509173,0.0018972341705139162
Venezuela,Christianity,,,0.0037534096066014,0.0,0.0037534096066014,-0.0037534096066014,0.0037534096066014,-1.0,0.0018767048033007
Nepal,Hinduism,,,0.0035066422807604,0.0,0.0035066422807604,-0.0035066422807604,0.0035066422807604,-1.0,0.0017533211403802
China,Islam,,,0.00350176906771,0.0,0.00350176906771,-0.00350176906771,0.00350176906771,-1.0,0.001750884533855
Yemen,Islam,,,0.0034567252052972,0.0,0.0034567252052972,-0.0034567252052972,0.0034567252052972,-1.0,0.0017283626026486
Russia,I do not identify with any religious group or faith,,,0.0033589665210002,0.0,0.0033589665210002,-0.0033589665210002,0.0033589665210002,-1.0,0.0016794832605001
Korea South,I do not identify with any religious group or faith,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Mexico,Other religious group,2.0,0.0033333333333333335,1.644999476724245e-05,0.0033333333333333335,1.644999476724245e-05,0.003316883338566091,0.003316883338566091,201.63430964556517,0.0016584416692830455
India,Other religious group,1.0,0.0016666666666666668,0.0049731545280687,0.0016666666666666668,0.0049731545280687,-0.0033064878614020334,0.0033064878614020334,-0.6648673076092995,0.0016532439307010167
South Korea,I do not identify with any religious group or faith,,,0.0032423574944364,0.0,0.0032423574944364,-0.0032423574944364,0.0032423574944364,-1.0,0.0016211787472182
Canada,Islam,2.0,0.0033333333333333335,0.0001036166924846,0.0033333333333333335,0.0001036166924846,0.0032297166408487336,0.0032297166408487336,31.169848828447687,0.0016148583204243668
Germany,Christianity,3.0,0.005,0.0082003557497739,0.005,0.0082003557497739,-0.0032003557497739003,0.0032003557497739003,-0.3902703550223587,0.0016001778748869501
Romania,Christianity,,,0.0031012417176009,0.0,0.0031012417176009,-0.0031012417176009,0.0031012417176009,-1.0,0.00155062085880045
Hungary,I do not identify with any religious group or faith,2.0,0.0033333333333333335,0.0002692276167037,0.0033333333333333335,0.0002692276167037,0.0030641057166296334,0.0030641057166296334,11.38109735600361,0.0015320528583148167
United States,Other religious group,2.0,0.0033333333333333335,0.0003601304444265,0.0033333333333333335,0.0003601304444265,0.0029732028889068334,0.0029732028889068334,8.255905422385478,0.0014866014444534167
Belgium,I do not identify with any religious group or faith,2.0,0.0033333333333333335,0.0004504676313487,0.0033333333333333335,0.0004504676313487,0.0028828657019846337,0.0028828657019846337,6.399717762968527,0.0014414328509923168
Syria,Islam,,,0.0027470534023017,0.0,0.0027470534023017,-0.0027470534023017,0.0027470534023017,-1.0,0.00137352670115085
Slovakia,Christianity,2.0,0.0033333333333333335,0.0006754882439522,0.0033333333333333335,0.0006754882439522,0.0026578450893811334,0.0026578450893811334,3.9347022145498833,0.0013289225446905667
Ghana,Christianity,,,0.0026495354779351,0.0,0.0026495354779351,-0.0026495354779351,0.0026495354779351,-1.0,0.00132476773896755
Argentina,I do not identify with any religious group or faith,2.0,0.0033333333333333335,0.0007150308869899,0.0033333333333333335,0.0007150308869899,0.0026183024463434334,0.0026183024463434334,3.6618032786888794,0.0013091512231717167
Madagascar,Christianity,,,0.0025621541267857,0.0,0.0025621541267857,-0.0025621541267857,0.0025621541267857,-1.0,0.00128107706339285
North Korea,I do not identify with any religious group or faith,,,0.0025180515486794,0.0,0.0025180515486794,-0.0025180515486794,0.0025180515486794,-1.0,0.0012590257743397
Angola,Christianity,,,0.002504396399611,0.0,0.002504396399611,-0.002504396399611,0.002504396399611,-1.0,0.0012521981998055
Brazil,Other religious group,2.0,0.0033333333333333335,0.0008482436465898,0.0033333333333333335,0.0008482436465898,0.002485089686743534,0.002485089686743534,2.9296885355220255,0.001242544843371767
Mexico,Christianity,8.0,0.013333333333333334,0.0156439450236475,0.013333333333333334,0.0156439450236475,-0.002310611690314166,0.002310611690314166,-0.14770006458226673,0.001155305845157083
Tanzania,Islam,,,0.0022892034333259,0.0,0.0022892034333259,-0.0022892034333259,0.0022892034333259,-1.0,0.00114460171666295
Niger,Islam,,,0.0022135177934975,0.0,0.0022135177934975,-0.0022135177934975,0.0022135177934975,-1.0,0.00110675889674875
Egypt,Islam,8.0,0.013333333333333334,0.0111652968891487,0.013333333333333334,0.0111652968891487,0.0021680364441846334,0.0021680364441846334,0.1941763363490763,0.0010840182220923167
Sri Lanka,Buddhism,,,0.0020966389997827,0.0,0.0020966389997827,-0.0020966389997827,0.0020966389997827,-1.0,0.00104831949989135
Vietnam,Buddhism,,,0.002089593145914,0.0,0.002089593145914,-0.002089593145914,0.002089593145914,-1.0,0.001044796572957
Russia,Islam,,,0.0020734361240742,0.0,0.0020734361240742,-0.0020734361240742,0.0020734361240742,-1.0,0.0010367180620371
Mali,Islam,,,0.0020597853260889,0.0,0.0020597853260889,-0.0020597853260889,0.0020597853260889,-1.0,0.00102989266304445
South Korea,Christianity,,,0.0020544247917334,0.0,0.0020544247917334,-0.0020544247917334,0.0020544247917334,-1.0,0.0010272123958667
Taiwan,Other religious group,,,0.0020341139359125,0.0,0.0020341139359125,-0.0020341139359125,0.0020341139359125,-1.0,0.00101705696795625
Cameroon,Christianity,,,0.0019984234517623,0.0,0.0019984234517623,-0.0019984234517623,0.0019984234517623,-1.0,0.00099921172588115
Cambodia,Buddhism,,,0.0019872353668006,0.0,0.0019872353668006,-0.0019872353668006,0.0019872353668006,-1.0,0.0009936176834003
Guatemala,Christianity,,,0.0019868901808762,0.0,0.0019868901808762,-0.0019868901808762,0.0019868901808762,-1.0,0.0009934450904381
Ecuador,Christianity,,,0.0019734859442655,0.0,0.0019734859442655,-0.0019734859442655,0.0019734859442655,-1.0,0.00098674297213275
Bangladesh,Hinduism,,,0.0019624530479338,0.0,0.0019624530479338,-0.0019624530479338,0.0019624530479338,-1.0,0.0009812265239669
United Kingdom,Christianity,5.0,0.008333333333333333,0.0063976063055965,0.008333333333333333,0.0063976063055965,0.0019357270277368336,0.0019357270277368336,0.30257051391916656,0.0009678635138684168
Mozambique,Christianity,,,0.0019234876485848,0.0,0.0019234876485848,-0.0019234876485848,0.0019234876485848,-1.0,0.0009617438242924
Zambia,Christianity,,,0.001852958042207,0.0,0.001852958042207,-0.001852958042207,0.001852958042207,-1.0,0.0009264790211035
Indonesia,Christianity,1.0,0.0016666666666666668,0.0034441911853026,0.0016666666666666668,0.0034441911853026,-0.0017775245186359334,0.0017775245186359334,-0.5160934521350514,0.0008887622593179667
Senegal,Islam,,,0.00173789800122,0.0,0.00173789800122,-0.00173789800122,0.00173789800122,-1.0,0.00086894900061
Ireland {Republic},Christianity,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Korea South,Christianity,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Palestine,Islam,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Russian Federation,Christianity,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Ireland {Republic},Islam,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Türkiye,Other religious group,1.0,0.0016666666666666668,,0.0016666666666666668,0.0,0.0016666666666666668,0.0016666666666666668,inf,0.0008333333333333334
Greece,Other religious group,1.0,0.0016666666666666668,2.471415189859032e-06,0.0016666666666666668,2.471415189859032e-06,0.0016641952514768077,0.0016641952514768077,673.3774471830985,0.0008320976257384039
Romania,I do not identify with any religious group or faith,1.0,0.0016666666666666668,3.1168258468351287e-06,0.0016666666666666668,3.1168258468351287e-06,0.0016635498408198316,0.0016635498408198316,533.7320474639367,0.0008317749204099158
Ukraine,Hinduism,1.0,0.0016666666666666668,3.2959454336588316e-06,0.0016666666666666668,3.2959454336588316e-06,0.001663370721233008,0.001663370721233008,504.6718019801981,0.000831685360616504
Poland,Other religious group,1.0,0.0016666666666666668,5.551982011021346e-06,0.0016666666666666668,5.551982011021346e-06,0.0016611146846556453,0.0016611146846556453,299.1930956112853,0.0008305573423278227
Bangladesh,I do not identify with any religious group or faith,1.0,0.0016666666666666668,1.0782709054581555e-05,0.0016666666666666668,1.0782709054581555e-05,0.0016558839576120853,0.0016558839576120853,153.56845383011637,0.0008279419788060426
United Arab Emirates,I do not identify with any religious group or faith,1.0,0.0016666666666666668,1.1981432443324804e-05,0.0016666666666666668,1.1981432443324804e-05,0.001654685234223342,0.001654685234223342,138.10412419803896,0.000827342617111671
Pakistan,I do not identify with any religious group or faith,1.0,0.0016666666666666668,1.2588408533087714e-05,0.0016666666666666668,1.2588408533087714e-05,0.001654078258133579,0.001654078258133579,131.3969318509131,0.0008270391290667895
Indonesia,I do not identify with any religious group or faith,1.0,0.0016666666666666668,1.7394904976275995e-05,0.0016666666666666668,1.7394904976275995e-05,0.0016492717616903908,0.0016492717616903908,94.81349647725852,0.0008246358808451954
Israel,Christianity,1.0,0.0016666666666666668,2.1523357639382648e-05,0.0016666666666666668,2.1523357639382648e-05,0.0016451433090272842,0.0016451433090272842,76.43525404312669,0.0008225716545136421
Brazil,Buddhism,1.0,0.0016666666666666668,2.8274788219660695e-05,0.0016666666666666668,2.8274788219660695e-05,0.001638391878447006,0.001638391878447006,57.945328032828925,0.000819195939223503
Denmark,Islam,1.0,0.0016666666666666668,3.300296516739569e-05,0.0016666666666666668,3.300296516739569e-05,0.001633663701499271,0.001633663701499271,49.50051285431774,0.0008168318507496355
United Kingdom,Buddhism,1.0,0.0016666666666666668,3.599215924386252e-05,0.0016666666666666668,3.599215924386252e-05,0.0016306745074228042,0.0016306745074228042,45.30638176982592,0.0008153372537114021
South Korea,Buddhism,,,0.0016002152289352,0.0,0.0016002152289352,-0.0016002152289352,0.0016002152289352,-1.0,0.0008001076144676
Zimbabwe,Christianity,,,0.0015861003154213,0.0,0.0015861003154213,-0.0015861003154213,0.0015861003154213,-1.0,0.00079305015771065
Malawi,Christianity,2.0,0.0033333333333333335,0.0017871783681924,0.0033333333333333335,0.0017871783681924,0.0015461549651409336,0.0015461549651409336,0.8651374662198694,0.0007730774825704668
Switzerland,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0001322062090471,0.0016666666666666668,0.0001322062090471,0.0015344604576195669,0.0015344604576195669,11.606568773732084,0.0007672302288097834
Finland,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0001368212578348,0.0016666666666666668,0.0001368212578348,0.0015298454088318667,0.0015298454088318667,11.181342965572094,0.0007649227044159334
Latvia,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0001429330792022,0.0016666666666666668,0.0001429330792022,0.0015237335874644668,0.0015237335874644668,10.660468493153498,0.0007618667937322334
Austria,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0001642751417132,0.0016666666666666668,0.0001642751417132,0.0015023915249534668,0.0015023915249534668,9.14558045292342,0.0007511957624767334
Burkina Faso,Islam,,,0.0014714666805762,0.0,0.0014714666805762,-0.0014714666805762,0.0014714666805762,-1.0,0.0007357333402881
Greece,Christianity,,,0.0014515445215105,0.0,0.0014515445215105,-0.0014515445215105,0.0014515445215105,-1.0,0.00072577226075525
Rwanda,Christianity,,,0.0014386247054828,0.0,0.0014386247054828,-0.0014386247054828,0.0014386247054828,-1.0,0.0007193123527414
New Zealand,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0002319736433664,0.0016666666666666668,0.0002319736433664,0.0014346930233002668,0.0014346930233002668,6.184724275051299,0.0007173465116501334
Spain,Christianity,4.0,0.006666666666666667,0.0052530451990423,0.006666666666666667,0.0052530451990423,0.0014136214676243675,0.0014136214676243675,0.26910514074428477,0.0007068107338121838
United States,Hinduism,1.0,0.0016666666666666668,0.0002700978333198,0.0016666666666666668,0.0002700978333198,0.0013965688333468667,0.0013965688333468667,5.170603614925366,0.0006982844166734334
Bolivia,Christianity,,,0.001352355781241,0.0,0.001352355781241,-0.001352355781241,0.001352355781241,-1.0,0.0006761778906205
Somalia,Islam,,,0.0013504804644332,0.0,0.0013504804644332,-0.0013504804644332,0.0013504804644332,-1.0,0.0006752402322166
Sweden,I do not identify with any religious group or faith,1.0,0.0016666666666666668,0.0003673184336758,0.0016666666666666668,0.0003673184336758,0.0012993482329908667,0.0012993482329908667,3.537389125800553,0.0006496741164954334
Albania,Islam,1.0,0.0016666666666666668,0.0003726847694754,0.0016666666666666668,0.0003726847694754,0.0012939818971912668,0.0012939818971912668,3.47205467777153,0.0006469909485956334
Azerbaijan,Islam,,,0.0012915624484369,0.0,0.0012915624484369,-0.0012915624484369,0.0012915624484369,-1.0,0.00064578122421845
Malaysia,Christianity,1.0,0.0016666666666666668,0.0003871883797445,0.0016666666666666668,0.0003871883797445,0.0012794782869221667,0.0012794782869221667,3.3045368969143025,0.0006397391434610834
Dominican Republic,Christianity,,,0.0012673834797572,0.0,0.0012673834797572,-0.0012673834797572,0.0012673834797572,-1.0,0.0006336917398786
Ivory Coast,Christianity,,,0.0012625885862023,0.0,0.0012625885862023,-0.0012625885862023,0.0012625885862023,-1.0,0.00063129429310115
Haiti,Christianity,,,0.0012591033686546,0.0,0.0012591033686546,-0.0012591033686546,0.0012591033686546,-1.0,0.0006295516843273
Armenia,Christianity,1.0,0.0016666666666666668,0.0004414391339562,0.0016666666666666668,0.0004414391339562,0.0012252275327104668,0.0012252275327104668,2.7755299393823907,0.0006126137663552334
Guinea,Islam,,,0.0012216564973007,0.0,0.0012216564973007,-0.0012216564973007,0.0012216564973007,-1.0,0.00061082824865035
Hungary,Christianity,,,0.0011724428469355,0.0,0.0011724428469355,-0.0011724428469355,0.0011724428469355,-1.0,0.00058622142346775
Czech Republic,I do not identify with any religious group or faith,,,0.0011623715399647,0.0,0.0011623715399647,-0.0011623715399647,0.0011623715399647,-1.0,0.00058118576998235
Australia,Christianity,2.0,0.0033333333333333335,0.0021737590466667,0.0033333333333333335,0.0021737590466667,0.0011595742866666336,0.0011595742866666336,0.5334419601127162,0.0005797871433333168
United States,Buddhism,1.0,0.0016666666666666668,0.0005401956666397,0.0016666666666666668,0.0005401956666397,0.0011264710000269667,0.0011264710000269667,2.0853018074621117,0.0005632355000134833
Burundi,Christianity,,,0.0011120933246057,0.0,0.0011120933246057,-0.0011120933246057,0.0011120933246057,-1.0,0.00055604666230285
Indonesia,Hinduism,1.0,0.0016666666666666668,0.0005914267691933,0.0016666666666666668,0.0005914267691933,0.0010752398974733669,0.0010752398974733669,1.8180440140374148,0.0005376199487366834
Ivory Coast,Islam,,,0.001073629750172,0.0,0.001073629750172,-0.001073629750172,0.001073629750172,-1.0,0.000536814875086
Croatia,Christianity,1.0,0.0016666666666666668,0.0005960403676199,0.0016666666666666668,0.0005960403676199,0.0010706262990467668,0.0010706262990467668,1.7962311903839279,0.0005353131495233834
Norway,Christianity,1.0,0.0016666666666666668,0.0005994864254199,0.0016666666666666668,0.0005994864254199,0.0010671802412467667,0.0010671802412467667,1.780157474790657,0.0005335901206233834
Serbia,Christianity,,,0.0010424107290677,0.0,0.0010424107290677,-0.0010424107290677,0.0010424107290677,-1.0,0.00052120536453385
Belarus,Christianity,,,0.0009913507691152,0.0,0.0009913507691152,-0.0009913507691152,0.0009913507691152,-1.0,0.0004956753845576
Papua New Guinea,Christianity,,,0.0009869880831463,0.0,0.0009869880831463,-0.0009869880831463,0.0009869880831463,-1.0,0.00049349404157315
France,Islam,1.0,0.0016666666666666668,0.0006830112665988,0.0016666666666666668,0.0006830112665988,0.0009836554000678668,0.0009836554000678668,1.4401744863832018,0.0004918277000339334
Austria,Christianity,,,0.00097834973287,0.0,0.00097834973287,-0.00097834973287,0.00097834973287,-1.0,0.000489174866435
Germany,Islam,1.0,0.0016666666666666668,0.0006923153325864,0.0016666666666666668,0.0006923153325864,0.0009743513340802667,0.0009743513340802667,1.4073808396532501,0.00048717566704013337
Ukraine,I do not identify with any religious group or faith,,,0.0009690079574956,0.0,0.0009690079574956,-0.0009690079574956,0.0009690079574956,-1.0,0.0004845039787478
Cuba,Christianity,,,0.0009667990576517,0.0,0.0009667990576517,-0.0009667990576517,0.0009667990576517,-1.0,0.00048339952882585
Honduras,Christianity,,,0.0009655923572773,0.0,0.0009655923572773,-0.0009655923572773,0.0009655923572773,-1.0,0.00048279617863865
Tajikistan,Islam,,,0.0009649193897608,0.0,0.0009649193897608,-0.0009649193897608,0.0009649193897608,-1.0,0.0004824596948804
Malaysia,Islam,1.0,0.0016666666666666668,0.002623819126567,0.0016666666666666668,0.002623819126567,-0.000957152459900333,0.000957152459900333,-0.3647936133283202,0.0004785762299501665
Malaysia,Buddhism,1.0,0.0016666666666666668,0.0007290674810084,0.0016666666666666668,0.0007290674810084,0.0009375991856582668,0.0009375991856582668,1.2860252446885148,0.0004687995928291334
Japan,Other religious group,,,0.0009359962901621,0.0,0.0009359962901621,-0.0009359962901621,0.0009359962901621,-1.0,0.00046799814508105
Sweden,Christianity,,,0.0009142147682599,0.0,0.0009142147682599,-0.0009142147682599,0.0009142147682599,-1.0,0.00045710738412995
Paraguay,Christianity,,,0.0009064828936254,0.0,0.0009064828936254,-0.0009064828936254,0.0009064828936254,-1.0,0.0004532414468127
Chad,Islam,,,0.0009007017545722,0.0,0.0009007017545722,-0.0009007017545722,0.0009007017545722,-1.0,0.0004503508772861
